group,alpha,duration,n_channels,f1_mean,f1_median,f1_sd,f1_ci_lo,f1_ci_hi,latency_mean
point,1.0,32,14,0.42792142857142856,0.49839999999999995,0.31267242671615836,0.2723989285714286,0.5803366071428571,0.5930769230769231
point,1.5,32,14,0.4772214285714286,0.5577000000000001,0.2907778564698261,0.3307242857142857,0.6174099999999999,1.5021428571428572
point,0.1,64,14,0.47849999999999987,0.48585,0.3254689965147336,0.3146491071428571,0.6380264285714284,9.378461538461538
point,0.25,64,14,0.5071642857142857,0.59445,0.3516117255573974,0.32808607142857144,0.68013625,8.013846153846155
point,0.5,64,14,0.5055642857142857,0.516,0.3436728847367751,0.3326344642857143,0.6763151785714285,5.352307692307692
point,0.75,64,14,0.50335,0.4924,0.33717782514458267,0.3314442857142858,0.6684169642857142,1.3284615384615384
point,1.0,64,14,0.5314428571428572,0.61575,0.3346424468783769,0.35788714285714285,0.693205,3.06923076923077
point,1.5,64,14,0.5906571428571429,0.7402,0.30658605697205205,0.4293842857142857,0.7353944642857142,1.6692857142857143
point,0.1,128,14,0.6137500000000001,0.7885,0.3464897595334362,0.43560517857142866,0.7810989285714284,14.936923076923078
point,0.25,128,14,0.6264214285714286,0.80955,0.3549402142042243,0.43735696428571413,0.7991580357142857,14.415384615384616
point,0.5,128,14,0.6000071428571427,0.74495,0.3566288039281303,0.4128855357142857,0.7752723214285716,8.46923076923077
point,0.75,128,14,0.622792857142857,0.76015,0.3481070446866015,0.4372707142857142,0.7876873214285716,5.741538461538462
point,1.0,128,14,0.6373714285714287,0.8182,0.3555423688450591,0.44512428571428564,0.803079642857143,5.661538461538461
point,1.5,128,14,0.6967857142857143,0.8507,0.3134328166440945,0.5230919642857143,0.8463860714285716,7.352142857142858
point,0.1,256,14,0.7047071428571429,0.90135,0.337138963506572,0.5289855357142857,0.8652228571428571,21.189999999999998
point,0.25,256,14,0.7082285714285714,0.91,0.34092427408346954,0.5267857142857143,0.8689605357142856,19.42615384615385
point,0.5,256,14,0.7058428571428571,0.8907499999999999,0.33902643807568417,0.5235650000000001,0.8636794642857142,17.927692307692308
point,0.75,256,14,0.7230857142857142,0.92545,0.34760183202390293,0.5308746428571428,0.8866933928571429,13.283846153846154
point,1.0,256,14,0.7325714285714285,0.9236500000000001,0.3146220893721213,0.571155892857143,0.8815108928571428,18.481428571428573
point,1.5,256,14,0.7866285714285713,0.9247,0.27945647914525745,0.6389342857142857,0.9161389285714284,8.053571428571429
contextual,0.1,16,6,0.12658333333333335,0.07919999999999999,0.15218558954995268,0.026399999999999996,0.24706666666666666,6.6575
contextual,0.25,16,6,0.17955,0.16444999999999999,0.08707685685645755,0.11741666666666667,0.24548333333333336,6.036666666666666
contextual,0.5,16,6,0.26380000000000003,0.1735,0.26283712827528766,0.08336666666666669,0.46851666666666664,4.044
contextual,0.75,16,6,0.3868833333333333,0.30795,0.289025226695987,0.19141666666666665,0.6101,2.888333333333333
