chan_id,spacecraft,anomaly_class,detector,alpha,duration,f1_pa,f1_pw,p_pa,p_pw,r_pa,r_pw,latency,n_replicas,fp_rate_no_injection
E-8,SMAP,[point],vae,0.5,16,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-8,SMAP,[point],lstm,0.5,32,0.8957,0.295,0.8112,0.4734,1.0,0.2146,1.67,5,
E-8,SMAP,[point],vae,0.5,32,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-8,SMAP,[point],lstm,0.5,64,0.9459,0.3224,0.8975,0.6392,1.0,0.2167,4.33,5,
E-8,SMAP,[point],vae,0.5,64,0.0889,0.0889,0.1333,0.1333,0.0667,0.0667,0.0,5,
E-8,SMAP,[point],lstm,0.5,128,0.9731,0.2669,0.9477,0.7425,1.0,0.1635,3.8,5,
E-8,SMAP,[point],vae,0.5,128,0.249,0.2129,0.3448,0.3381,0.2,0.1557,19.75,5,
E-8,SMAP,[point],lstm,0.5,256,0.985,0.3174,0.9704,0.8629,1.0,0.1948,2.47,5,
E-8,SMAP,[point],vae,0.5,256,0.7761,0.4587,0.989,0.9775,0.6667,0.3086,57.5,5,
E-8,SMAP,[point],lstm,0.75,16,0.7715,0.4009,0.6288,0.3996,1.0,0.4042,0.33,5,
E-8,SMAP,[point],vae,0.75,16,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-8,SMAP,[point],lstm,0.75,32,0.8832,0.4063,0.7909,0.5468,1.0,0.325,1.6,5,
E-8,SMAP,[point],vae,0.75,32,0.2786,0.2786,0.2476,0.2476,0.3333,0.3333,0.0,5,
E-8,SMAP,[point],lstm,0.75,64,0.9294,0.3543,0.8683,0.6168,1.0,0.249,0.53,5,
E-8,SMAP,[point],vae,0.75,64,0.517,0.5148,0.4793,0.4787,0.6,0.5969,0.38,5,
E-8,SMAP,[point],lstm,0.75,128,0.9622,0.437,0.9272,0.7921,1.0,0.3021,0.87,5,
E-8,SMAP,[point],vae,0.75,128,0.6937,0.5773,0.8109,0.7682,0.6667,0.5021,11.3,5,
E-8,SMAP,[point],lstm,0.75,256,0.9835,0.39,0.9676,0.8805,1.0,0.2508,0.87,5,
E-8,SMAP,[point],vae,0.75,256,0.8637,0.7617,0.8784,0.8554,0.8667,0.6987,27.93,5,
E-8,SMAP,[point],lstm,1.0,16,0.7653,0.4774,0.6205,0.4528,1.0,0.5083,0.13,5,
E-8,SMAP,[point],vae,1.0,16,0.1344,0.1344,0.0927,0.0927,0.2667,0.2667,0.0,5,
E-8,SMAP,[point],lstm,1.0,32,0.8606,0.5183,0.7558,0.5873,1.0,0.4729,1.33,5,
E-8,SMAP,[point],vae,1.0,32,0.2346,0.2346,0.1758,0.1758,0.4,0.4,0.0,5,
E-8,SMAP,[point],lstm,1.0,64,0.9312,0.6055,0.8714,0.77,1.0,0.5073,0.6,5,
E-8,SMAP,[point],vae,1.0,64,0.4745,0.4689,0.5315,0.5285,0.4667,0.4615,0.0,5,
E-8,SMAP,[point],lstm,1.0,128,0.9683,0.5877,0.9386,0.8727,1.0,0.4464,0.4,5,
E-8,SMAP,[point],vae,1.0,128,0.6919,0.5983,0.757,0.7239,0.6667,0.5438,4.47,5,
E-8,SMAP,[point],lstm,1.0,256,0.9811,0.6218,0.9629,0.923,1.0,0.4708,0.27,5,
E-8,SMAP,[point],vae,1.0,256,0.9487,0.7953,0.9032,0.8756,1.0,0.7451,34.13,5,
E-8,SMAP,[point],lstm,1.5,16,0.7476,0.5925,0.5987,0.5134,1.0,0.7167,0.27,5,
E-8,SMAP,[point],vae,1.5,16,0.1689,0.1689,0.1105,0.1105,0.4,0.4,0.0,5,
E-8,SMAP,[point],lstm,1.5,32,0.8483,0.6713,0.7368,0.6565,1.0,0.6896,0.4,5,
E-8,SMAP,[point],vae,1.5,32,0.3588,0.3588,0.2587,0.2587,0.6,0.6,0.0,5,
E-8,SMAP,[point],lstm,1.5,64,0.9197,0.712,0.8517,0.7871,1.0,0.6573,0.6,5,
E-8,SMAP,[point],vae,1.5,64,0.4601,0.4601,0.4569,0.4569,0.5333,0.5333,0.0,5,
E-8,SMAP,[point],lstm,1.5,128,0.9596,0.7448,0.9223,0.8838,1.0,0.6453,0.27,5,
E-8,SMAP,[point],vae,1.5,128,0.7689,0.737,0.6971,0.6839,0.8667,0.8047,2.67,5,
E-8,SMAP,[point],lstm,1.5,256,0.9809,0.8149,0.9625,0.948,1.0,0.7148,0.33,5,
E-8,SMAP,[point],vae,1.5,256,0.8707,0.8321,0.8262,0.815,0.9333,0.8635,8.37,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.02188
E-10,SMAP,"[contextual, contextual]",vae,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.0
E-10,SMAP,"[contextual, contextual]",lstm,0.1,16,0.0692,0.0077,0.0467,0.0056,0.1333,0.0125,8.5,5,
E-10,SMAP,"[contextual, contextual]",vae,0.1,16,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.1,32,0.3566,0.0157,0.2896,0.0149,0.4667,0.0167,14.7,5,
E-10,SMAP,"[contextual, contextual]",vae,0.1,32,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.1,64,0.7143,0.0227,0.6107,0.0318,0.8667,0.0177,35.0,5,
E-10,SMAP,"[contextual, contextual]",vae,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.1,128,0.8854,0.0261,0.7944,0.0605,1.0,0.0167,24.6,5,
E-10,SMAP,"[contextual, contextual]",vae,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.1,256,0.9451,0.029,0.8959,0.1238,1.0,0.0164,40.87,5,
E-10,SMAP,"[contextual, contextual]",vae,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.25,16,0.1809,0.0128,0.1242,0.0092,0.3333,0.0208,8.62,5,
E-10,SMAP,"[contextual, contextual]",vae,0.25,16,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.25,32,0.2586,0.0137,0.191,0.0129,0.4,0.0146,15.83,5,
E-10,SMAP,"[contextual, contextual]",vae,0.25,32,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.25,64,0.7879,0.0228,0.65,0.0319,1.0,0.0177,34.2,5,
E-10,SMAP,"[contextual, contextual]",vae,0.25,64,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.25,128,0.8854,0.0189,0.7944,0.0443,1.0,0.012,37.8,5,
E-10,SMAP,"[contextual, contextual]",vae,0.25,128,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.25,256,0.9443,0.0257,0.8945,0.1098,1.0,0.0146,40.13,5,
E-10,SMAP,"[contextual, contextual]",vae,0.25,256,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.5,16,0.0372,0.0025,0.0258,0.0018,0.0667,0.0042,5.0,5,
E-10,SMAP,"[contextual, contextual]",vae,0.5,16,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.5,32,0.1096,0.004,0.0931,0.0038,0.1333,0.0042,19.5,5,
E-10,SMAP,"[contextual, contextual]",vae,0.5,32,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.5,64,0.1934,0.0041,0.1894,0.0059,0.2,0.0031,11.5,5,
E-10,SMAP,"[contextual, contextual]",vae,0.5,64,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.5,128,0.1676,0.0017,0.2256,0.004,0.1333,0.001,81.0,5,
E-10,SMAP,"[contextual, contextual]",vae,0.5,128,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.5,256,0.659,0.0074,0.685,0.0339,0.6667,0.0042,107.08,5,
E-10,SMAP,"[contextual, contextual]",vae,0.5,256,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.75,16,0.1804,0.0396,0.1238,0.0282,0.3333,0.0667,3.5,5,
E-10,SMAP,"[contextual, contextual]",vae,0.75,16,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-10,SMAP,"[contextual, contextual]",lstm,0.75,32,0.2461,0.0136,0.1957,0.0127,0.3333,0.0146,4.83,5,
E-10,SMAP,"[contextual, contextual]",vae,0.75,32,0.08,0.08,0.1,0.1,0.0667,0.0667,0.0,5,
