chan_id,spacecraft,anomaly_class,alpha,duration,f1,precision,recall,latency_steps,n_replicas_valid,mean_injections_per_replica,fp_rate_no_injection
G-1,SMAP,[contextual],0.25,16,0.1939,0.3556,0.1333,14.0,5,3.0,
G-1,SMAP,[contextual],0.25,32,0.1,0.2,0.0667,14.0,5,3.0,
G-1,SMAP,[contextual],0.25,64,0.1,0.2,0.0667,44.0,5,3.0,
G-1,SMAP,[contextual],0.25,128,0.3994,0.7954,0.2667,53.0,5,3.0,
G-1,SMAP,[contextual],0.25,256,0.4599,0.7992,0.3333,101.88,5,3.0,
G-1,SMAP,[contextual],0.5,16,0.6837,0.883,0.6,2.4,5,3.0,
G-1,SMAP,[contextual],0.5,32,0.7444,0.9444,0.6667,0.87,5,3.0,
G-1,SMAP,[contextual],0.5,64,0.9574,0.9949,0.9333,11.57,5,3.0,
G-1,SMAP,[contextual],0.5,128,0.8929,0.9793,0.8667,23.13,5,3.0,
G-1,SMAP,[contextual],0.5,256,0.9975,0.9951,1.0,42.6,5,3.0,
G-1,SMAP,[contextual],0.75,16,0.8486,0.8427,0.8667,0.6,5,3.0,
G-1,SMAP,[contextual],0.75,32,0.9727,0.9468,1.0,3.27,5,3.0,
G-1,SMAP,[contextual],0.75,64,0.9494,0.9753,0.9333,6.2,5,3.0,
G-1,SMAP,[contextual],0.75,128,0.9917,0.9836,1.0,2.2,5,3.0,
G-1,SMAP,[contextual],0.75,256,0.9968,0.9935,1.0,18.6,5,3.0,
G-1,SMAP,[contextual],1.0,16,0.8637,0.8168,0.9333,0.93,5,3.0,
G-1,SMAP,[contextual],1.0,32,0.9767,0.9548,1.0,1.93,5,3.0,
G-1,SMAP,[contextual],1.0,64,0.9023,0.9601,0.8667,1.17,5,3.0,
G-1,SMAP,[contextual],1.0,128,0.9925,0.9851,1.0,1.6,5,3.0,
G-1,SMAP,[contextual],1.0,256,0.9941,0.9882,1.0,3.93,5,3.0,
G-1,SMAP,[contextual],1.5,16,0.8298,0.7516,0.9333,0.2,5,3.0,
G-1,SMAP,[contextual],1.5,32,0.9339,0.8761,1.0,0.67,5,3.0,
G-1,SMAP,[contextual],1.5,64,0.9688,0.9395,1.0,0.8,5,3.0,
G-1,SMAP,[contextual],1.5,128,0.9882,0.9766,1.0,0.27,5,3.0,
G-1,SMAP,[contextual],1.5,256,0.9925,0.9852,1.0,0.07,5,3.0,
G-2,SMAP,[point],0.0,0,0.0,0.0,0.0,,1,0.0,0.0
G-2,SMAP,[point],0.1,16,0.7337,0.5801,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.1,32,0.8364,0.719,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.1,64,0.9126,0.8394,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.1,128,0.9579,0.9191,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.1,256,0.9776,0.9562,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.25,16,0.6773,0.5122,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.25,32,0.8103,0.6814,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.25,64,0.8964,0.8124,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.25,128,0.9396,0.8861,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.25,256,0.9738,0.9489,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.5,16,0.6501,0.4818,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.5,32,0.7975,0.6633,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.5,64,0.8795,0.785,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.5,128,0.9428,0.8919,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.5,256,0.9679,0.9377,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.75,16,0.6338,0.4642,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.75,32,0.7812,0.641,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.75,64,0.8869,0.7968,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.75,128,0.9336,0.8756,1.0,0.0,5,3.0,
G-2,SMAP,[point],0.75,256,0.9714,0.9445,1.0,0.0,5,3.0,
G-2,SMAP,[point],1.0,16,0.636,0.4663,1.0,0.0,5,3.0,
G-2,SMAP,[point],1.0,32,0.7743,0.6317,1.0,0.0,5,3.0,
G-2,SMAP,[point],1.0,64,0.8682,0.7672,1.0,0.0,5,3.0,
G-2,SMAP,[point],1.0,128,0.9361,0.88,1.0,0.0,5,3.0,
G-2,SMAP,[point],1.0,256,0.9625,0.9278,1.0,0.0,5,3.0,
G-2,SMAP,[point],1.5,16,0.5964,0.425,1.0,0.0,5,3.0,
G-2,SMAP,[point],1.5,32,0.7677,0.6232,1.0,0.0,5,3.0,
G-2,SMAP,[point],1.5,64,0.8597,0.7542,1.0,0.0,5,3.0,
G-2,SMAP,[point],1.5,128,0.9294,0.8683,1.0,0.0,5,3.0,
G-2,SMAP,[point],1.5,256,0.9618,0.9264,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.0,0,0.0,0.0,0.0,,1,0.0,1.0
D-5,SMAP,[point],0.1,16,0.0201,0.0101,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.1,32,0.0397,0.0203,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.1,64,0.0779,0.0405,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.1,128,0.15,0.0811,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.1,256,0.2791,0.1622,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.25,16,0.0201,0.0101,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.25,32,0.0397,0.0203,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.25,64,0.0779,0.0405,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.25,128,0.15,0.0811,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.25,256,0.2791,0.1622,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.5,16,0.0201,0.0101,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.5,32,0.0397,0.0203,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.5,64,0.0779,0.0405,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.5,128,0.15,0.0811,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.5,256,0.2791,0.1622,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.75,16,0.0201,0.0101,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.75,32,0.0397,0.0203,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.75,64,0.0779,0.0405,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.75,128,0.15,0.0811,1.0,0.0,5,3.0,
D-5,SMAP,[point],0.75,256,0.2791,0.1622,1.0,0.0,5,3.0,
D-5,SMAP,[point],1.0,16,0.0201,0.0101,1.0,0.0,5,3.0,
D-5,SMAP,[point],1.0,32,0.0397,0.0203,1.0,0.0,5,3.0,
D-5,SMAP,[point],1.0,64,0.0779,0.0405,1.0,0.0,5,3.0,
D-5,SMAP,[point],1.0,128,0.15,0.0811,1.0,0.0,5,3.0,
D-5,SMAP,[point],1.0,256,0.2791,0.1622,1.0,0.0,5,3.0,
D-5,SMAP,[point],1.5,16,0.0201,0.0101,1.0,0.0,5,3.0,
D-5,SMAP,[point],1.5,32,0.0397,0.0203,1.0,0.0,5,3.0,
D-5,SMAP,[point],1.5,64,0.0779,0.0405,1.0,0.0,5,3.0,
D-5,SMAP,[point],1.5,128,0.15,0.0811,1.0,0.0,5,3.0,
D-5,SMAP,[point],1.5,256,0.2791,0.1622,1.0,0.0,5,3.0,
G-3,SMAP,[point],0.0,0,0.0,0.0,0.0,,1,0.0,0.0
G-3,SMAP,[point],0.1,16,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.1,32,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.1,64,0.0,0.0,0.0,,5,3.0,
G-3,SMAP,[point],0.1,128,0.0,0.0,0.0,,5,3.0,
